133850037	-10914395092012777	-10914251092012377	3	null
133850036	-10914251092012377	-10914215092011477	3	null
133850035	-10914422092012077	-10914215092011477	3	null
133850031	-10914323092014477	-10914395092012777	3	null
133850030	-10914530092013177	-10914395092012777	3	null
133850029	-10914395092012777	-10914422092012077	3	null
133850028	-10914557092012477	-10914422092012077	3	null
133850027	-10914215092011477	-10914314092010977	3	null
133850026	-10914449092011377	-10914314092010977	3	null
133850022	-10914314092010977	-10914368092010677	3	null
133850020	-10914413092015977	-10914458092014877	3	null
133850018	-10914458092014877	-10914485092014177	3	null
133850016	-10914485092014177	-10914530092013177	3	null
133850015	-10914755092013777	-10914530092013177	3	null
133850014	-10914422092012077	-10914449092011377	3	null
133850013	-10914593092011777	-10914449092011377	3	null
133850012	-10914530092013177	-10914557092012477	3	null
133850011	-10914449092011377	-10914467092010877	3	null
133850009	-10914557092012477	-10914593092011777	3	null
133850008	-10914593092011777	-10914593092011477	3	null
133850007	-10915277452022023	-10914806392013905	3	null
133850006	-10915332352022160	-10915277452022023	3	null
133850005	-10914806392013905	-10914755092013777	3	null
133850004	-10915151092014877	-10914806392013905	3	null
133850002	-10915412092015577	-10915151092014877	3	null
133849999	-10915394092030477	-10915331092030277	3	null
133849997	-10915628092030877	-10915394092030477	3	null
133849994	-10915556092030577	-10915457092030477	3	null
133849993	-10915457092030477	-10915475092030177	3	null
133849992	-10915520092029777	-10915439092029577	3	null
133849991	-10915520092029777	-10915493092028977	3	null
133849990	-10915475092030177	-10915520092029777	3	null
133849988	-10915529092029677	-10915520092029777	3	null
133849987	-10915736092031077	-10915628092030877	3	null
133849986	-10915637092030377	-10915556092030577	3	null
133849985	-10915628092030877	-10915637092030377	3	null
133849983	-10915808092031177	-10915736092031077	3	null
133849982	-10915970092031577	-10915808092031177	3	null
133849981	-10915808092031177	-10915817092030477	3	null
133849980	-10915988092030677	-10915817092030477	3	null
133849979	-10915817092030477	-10915853092029577	3	null
133849978	-10916015092029977	-10915853092029577	3	null
133849977	-10915286092027977	-10915322092026777	3	null
133849976	-10915322092026777	-10915340092025777	3	null
133849975	-10915493092028977	-10915466092028877	3	null
133849972	-10915556092028477	-10915502092028277	3	null
133849971	-10915493092028977	-10915511092028677	3	null
133849970	-10915511092028677	-10915556092028477	3	null
133849967	-10915502092028277	-10915511092026877	3	null
133849966	-10915601092027077	-10915511092026877	3	null
133849963	-10915331092023877	-10915349092023477	3	null
133849962	-10915421092024177	-10915384282023607	3	null
133849959	-10915556092028477	-10915601092027077	3	null
133849958	-10915601092027077	-10915628092026177	3	null
133849957	-10915871092035477	-10915898092034577	3	null
133849956	-10916015092034777	-10915898092034577	3	null
133849955	-10915898092034577	-10915925092033577	3	null
133849954	-10916042092033877	-10915925092033577	3	null
133849953	-10915997092035777	-10916015092034777	3	null
133849952	-10916132092035077	-10916015092034777	3	null
133849951	-10916015092034777	-10916042092033877	3	null
133849950	-10916159092034077	-10916042092033877	3	null
133849949	-10916114092036077	-10916132092035077	3	null
133849948	-10916249092035277	-10916132092035077	3	null
133849947	-10915925092033577	-10915970092031577	3	null
133849946	-10916132092031777	-10915970092031577	3	null
133849945	-10915970092031577	-10915988092030677	3	null
133849944	-10916168092030977	-10915988092030677	3	null
133849943	-10916186092031977	-10916132092031777	3	null
133849942	-10915988092030677	-10916015092029977	3	null
133849941	-10916195092030277	-10916015092029977	3	null
133849940	-10916015092029977	-10916024092029277	3	null
133849939	-10916204092029577	-10916024092029277	3	null
133849938	-10916132092035077	-10916159092034077	3	null
133849937	-10916276092034277	-10916159092034077	3	null
133849936	-10916231092036277	-10916249092035277	3	null
133849935	-10916375092035477	-10916249092035277	3	null
133849934	-10916249092035277	-10916276092034277	3	null
133849933	-10916402092034477	-10916276092034277	3	null
133849932	-10916159092034077	-10916186092033077	3	null
133849931	-10916303092033277	-10916186092033077	3	null
133849930	-10916375092035477	-10916402092034477	3	null
133849929	-10916510092034777	-10916402092034477	3	null
133849928	-10916276092034277	-10916303092033277	3	null
133849927	-10916420092033477	-10916303092033277	3	null
133849926	-10916303092033277	-10916330092032177	3	null
133849925	-10916447092032377	-10916330092032177	3	null
133849924	-10916402092034477	-10916420092033477	3	null
133849923	-10916528092033677	-10916420092033477	3	null
133849922	-10916213092031977	-10916186092031977	3	null
133849921	-10916186092033077	-10916213092031977	3	null
133849920	-10916276092032077	-10916213092031977	3	null
133849919	-10916132092031777	-10916168092030977	3	null
133849918	-10916330092032177	-10916276092032077	3	null
133849917	-10916168092030977	-10916195092030277	3	null
133849916	-10916240092030477	-10916195092030277	3	null
133849915	-10916195092030277	-10916204092029577	3	null
133849914	-10916186092031977	-10916240092030477	3	null
133849913	-10916321092030677	-10916240092030477	3	null
133849912	-10916240092030477	-10916294092028977	3	null
133849911	-10916375092029177	-10916294092028977	3	null
133849910	-10916465092031877	-10916357092031577	3	null
133849909	-10916276092032077	-10916299492031349	3	null
133849908	-10916321092030677	-10916339092030377	3	null
133849907	-10916510092030777	-10916339092030377	3	null
133849906	-10916528092030177	-10916411092029877	3	null
133849905	-10916339092030377	-10916359792029687	3	null
133849904	-10915853092029577	-10915916092028177	3	null
133849903	-10916042092028577	-10915916092028177	3	null
133849902	-10915916092028177	-10915925092027377	3	null
133849901	-10916069092027877	-10915925092027377	3	null
133849900	-10915925092027377	-10915961092026777	3	null
133849899	-10916096092027177	-10915961092026777	3	null
133849898	-10915961092026777	-10915979092026077	3	null
133849897	-10916132092026477	-10915979092026077	3	null
133849896	-10916024092029277	-10916042092028577	3	null
133849895	-10916231092028877	-10916042092028577	3	null
133849894	-10916042092028577	-10916069092027877	3	null
133849893	-10916249092028377	-10916069092027877	3	null
133849892	-10916069092027877	-10916096092027177	3	null
133849891	-10916276092027677	-10916096092027177	3	null
133849890	-10916096092027177	-10916132092026477	3	null
